task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	env	workdir	scratch	error_action
6	be/12e06d	00f947b8-0d98-4135-95a9-a93b557c6af3	RUN:CLEAN:FASTP	-	RUN:CLEAN:FASTP (3)	COMPLETED	0	-	wave.seqera.io/wt/0580c01a70d7/staphb/fastp:0.23.4	16	-	-	32 GB	1	2024-10-16 15:06:44.305	2024-10-16 15:08:08.563	2024-10-16 15:08:08.630	1m 24s	873ms	harmon-queue	168.3%	0.0%	1.4 MB	4.3 MB	1.4 MB	4.3 MB	2.6 MB	1.2 MB	169	738	0	0	5	0	-	s3://nao-harmon/test-dedup-cc2021/work/be/12e06de814218fd13ae0877b925a08	-	-
2	61/a35cc8	ca1edcff-8cc3-45ec-a550-61e806a5d413	RUN:RAW:QC:FASTQC	-	RUN:RAW:QC:FASTQC (2)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:06:44.102	2024-10-16 15:08:08.554	2024-10-16 15:08:18.589	1m 34s	6.4s	harmon-queue	192.7%	1.2%	705.1 MB	4.2 GB	705.3 MB	11.9 GB	43.9 MB	4.3 MB	77654	13883	0	2.6 MB	11	0	-	s3://nao-harmon/test-dedup-cc2021/work/61/a35cc8eb0c8ec10426c6404967f7a2	-	-
1	25/c97174	f091f972-48be-45d8-9292-dea79c1760b2	RUN:RAW:QC:FASTQC	-	RUN:RAW:QC:FASTQC (1)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:06:44.332	2024-10-16 15:08:08.639	2024-10-16 15:08:18.629	1m 34s	6.1s	harmon-queue	209.3%	1.2%	745.8 MB	4.2 GB	747.8 MB	11.9 GB	35.2 MB	4.3 MB	59982	13965	0	2.6 MB	10	0	-	s3://nao-harmon/test-dedup-cc2021/work/25/c971741bfb169c659c4d76663392b4	-	-
8	46/1ca9b0	2593d794-2fad-4e1b-bca2-68f6d44eb3f5	RUN:CLEAN:FASTP	-	RUN:CLEAN:FASTP (4)	COMPLETED	0	-	wave.seqera.io/wt/0580c01a70d7/staphb/fastp:0.23.4	16	-	-	32 GB	1	2024-10-16 15:06:44.301	2024-10-16 15:08:08.561	2024-10-16 15:08:18.606	1m 34s	9.2s	harmon-queue	440.1%	1.1%	675.7 MB	2 GB	675.7 MB	2 GB	51.3 MB	23.8 MB	170	813	0	0	244	23	-	s3://nao-harmon/test-dedup-cc2021/work/46/1ca9b0950bf8c7786b94c665f810f2	-	-
11	89/d81367	00fa2cc2-b1b1-4943-90a9-63be99b329af	RUN:RAW:QC:FASTQC	-	RUN:RAW:QC:FASTQC (6)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:06:44.336	2024-10-16 15:08:08.641	2024-10-16 15:08:18.649	1m 34s	3.4s	harmon-queue	260.1%	1.1%	657.2 MB	4.2 GB	663.6 MB	11.9 GB	20.7 MB	4 MB	30330	13552	0	2.3 MB	10	0	-	s3://nao-harmon/test-dedup-cc2021/work/89/d81367d9526487514f8e4d81142405	-	-
10	e8/236cb7	ac131966-d9f6-4fd0-abff-2132a5694d7d	RUN:RAW:QC:FASTQC	-	RUN:RAW:QC:FASTQC (5)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:06:44.343	2024-10-16 15:08:08.642	2024-10-16 15:08:18.673	1m 34s	7.2s	harmon-queue	196.6%	1.3%	799.2 MB	4.3 GB	799.2 MB	11.9 GB	47 MB	4.3 MB	84152	14019	0	2.6 MB	10	0	-	s3://nao-harmon/test-dedup-cc2021/work/e8/236cb70d18eaa4798bc69580d81b0f	-	-
7	53/45b00f	3c402d2f-0e88-4fd1-8e63-453984ee880c	RUN:RAW:QC:FASTQC	-	RUN:RAW:QC:FASTQC (4)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:06:44.348	2024-10-16 15:08:08.692	2024-10-16 15:08:18.731	1m 34s	5.3s	harmon-queue	232.3%	1.2%	751.6 MB	4.2 GB	756.2 MB	11.9 GB	34.6 MB	4.3 MB	58691	14082	0	2.6 MB	16	1	-	s3://nao-harmon/test-dedup-cc2021/work/53/45b00f8eb1a05f7f8a8acef57b6ded	-	-
3	89/5879c1	a756dd67-a189-4252-924e-939cb8710de0	RUN:RAW:QC:FASTQC	-	RUN:RAW:QC:FASTQC (3)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:06:44.345	2024-10-16 15:08:08.643	2024-10-16 15:08:18.702	1m 34s	3.3s	harmon-queue	218.4%	0.5%	278 MB	4.2 GB	278 MB	11.9 GB	11.8 MB	4 MB	12042	13630	0	2.3 MB	10	0	-	s3://nao-harmon/test-dedup-cc2021/work/89/5879c18dfc81283ea0eb5a6df85952	-	-
18	83/146363	060121b0-a461-49e0-96e8-4998c7767f48	RUN:RAW:QC:FASTQC	-	RUN:RAW:QC:FASTQC (10)	COMPLETED	0	-	wave.seqera.io/wt/176c74154d3b/staphb/fastqc:0.12.1	2	-	-	4 GB	1	2024-10-16 15:06:44.729	2024-10-16 15:08:38.593	2024-10-16 15:08:48.638	2m 4s	8.5s	harmon-queue	214.9%	1.3%	795 MB	4.3 GB	795 MB	11.9 GB	79.8 MB	3.7 MB	151286	13101	0	2.2 MB	10	0	-	s3://nao-harmon/test-dedup-cc2021/work/83/146363da86a57257f9edf51bcadc7e	-	-
9	21/b27906	8e586a6d-06f2-4dde-b8f3-4cff4159b483	RUN:CLEAN:FASTP	-	RUN:CLEAN:FASTP (5)	COMPLETED	0	-	wave.seqera.io/wt/0580c01a70d7/staphb/fastp:0.23.4	16	-	-	32 GB	1	2024-10-16 15:06:44.354	2024-10-16 15:08:38.580	2024-10-16 15:08:48.611	2m 4s	11.1s	harmon-queue	531.7%	0.3%	814.9 MB	2.1 GB	814.9 MB	2.2 GB	67.8 MB	36.2 MB	174	837	0	0	259	15	-	s3://nao-harmon/test-dedup-cc2021/work/21/b279066e45f52b65450b71cde771f3	-	-
